#Metric	Minimum	Maximum
TOTAL_READS	1000000	.
ALIGNED_READS	.	.
PERCENT_ALIGNED_READS	98	.
ONTARGET_READS	.	.
PERCENT_ONTARGET_READS	70	.
CONDENSED_ONTARGET_READS	.	.
PERCENT_CONDENSED_ONTARGET_READS	40	.
MEAN_READS_PER_UMI	.	.
MEDIAN_READS_PER_UMI	.	.
PERCENT_UMI_COVERAGE_1x	.	.
PERCENT_UMI_COVERAGE_2x	.	.
PERCENT_UMI_COVERAGE_3x	.	.
PERCENT_UMI_COVERAGE_OVER_4x	.	.
MEAN_READ_PAIRS_PER_AMPLICON	.	.
MEDIAN_READ_PAIRS_PER_AMPLICON	.	.
PERCENT_AMPLICON_COVERAGE_0x	.	35
PERCENT_AMPLICON_COVERAGE_10x	.	.
PERCENT_AMPLICON_COVERAGE_50x	.	.
PERCENT_AMPLICON_COVERAGE_100x	.	.
FAILED_HOTSPOTQC	.	0
PASSED_HOTSPOTQC	.	.
MEAN_UNIQUE_COVERAGE	500	.
MEDIAN_UNIQUE_COVERAGE	.	.
MEAN_RAW_COVERAGE	.	.
MEDIAN_RAW_COVERAGE	.	.
PERCENT_UNIQUE_COVERAGE_50x	90	.
PERCENT_UNIQUE_COVERAGE_100x	.	.
PERCENT_UNIQUE_COVERAGE_200x	.	.
MEAN_TARGET_COVERAGE	500	.
PERCENT_TARGET_COVERAGE_50x	90	.
HAPLOTECT_SITES		2	.
HAPLOTECT_CONTAM	.	0.01
